id,iso_country_origin,iso_country_destination,date,dateUS,count_x,count_Jan,variance,variance_%,iso_continent_origin,iso_continent_destination
1,AE,AE,09/02/2020,02/09/2020,437,476.5,-39.5,-0.08,AS,AS
2,AE,AE,16/02/2020,2/16/2020,426,476.5,-50.5,-0.11,AS,AS
3,AE,AE,23/02/2020,2/23/2020,395,476.5,-81.5,-0.17,AS,AS
4,AE,AE,01/03/2020,03/01/2020,444,476.5,-32.5,-0.07,AS,AS
5,AE,AE,08/03/2020,03/08/2020,510,476.5,33.5,0.07,AS,AS
6,AE,AE,15/03/2020,3/15/2020,510,476.5,33.5,0.07,AS,AS
7,AE,AE,22/03/2020,3/22/2020,358,476.5,-118.5,-0.25,AS,AS
8,AE,AE,29/03/2020,3/29/2020,246,476.5,-230.5,-0.48,AS,AS
9,AE,AE,05/04/2020,04/05/2020,78,476.5,-398.5,-0.84,AS,AS
10,AE,AE,12/04/2020,04/12/2020,116,476.5,-360.5,-0.76,AS,AS
11,AE,AE,19/04/2020,4/19/2020,117,476.5,-359.5,-0.75,AS,AS
12,AE,AE,26/04/2020,4/26/2020,113,476.5,-363.5,-0.76,AS,AS
13,AE,AE,03/05/2020,05/03/2020,92,476.5,-384.5,-0.81,AS,AS
14,AE,AE,10/05/2020,05/10/2020,157,476.5,-319.5,-0.67,AS,AS
15,AE,AE,17/05/2020,5/17/2020,135,476.5,-341.5,-0.72,AS,AS
16,AE,AE,24/05/2020,5/24/2020,144,476.5,-332.5,-0.7,AS,AS
17,AE,AE,31/05/2020,5/31/2020,124,476.5,-352.5,-0.74,AS,AS
18,AE,AE,07/06/2020,06/07/2020,169,476.5,-307.5,-0.65,AS,AS
19,AE,AE,14/06/2020,6/14/2020,202,476.5,-274.5,-0.58,AS,AS
20,AE,AE,21/06/2020,6/21/2020,242,476.5,-234.5,-0.49,AS,AS
21,AE,AE,28/06/2020,6/28/2020,307,476.5,-169.5,-0.36,AS,AS
22,AE,AE,05/07/2020,07/05/2020,227,476.5,-249.5,-0.52,AS,AS
23,AE,AE,12/07/2020,07/12/2020,270,476.5,-206.5,-0.43,AS,AS
24,AE,AE,19/07/2020,7/19/2020,311,476.5,-165.5,-0.35,AS,AS
25,AE,AE,26/07/2020,7/26/2020,251,476.5,-225.5,-0.47,AS,AS
26,AE,AE,02/08/2020,08/02/2020,160,476.5,-316.5,-0.66,AS,AS
28,AE,AM,09/02/2020,02/09/2020,6,13.5,-7.5,-0.56,AS,AS
29,AE,AM,16/02/2020,2/16/2020,9,13.5,-4.5,-0.33,AS,AS
30,AE,AM,23/02/2020,2/23/2020,12,13.5,-1.5,-0.11,AS,AS
31,AE,AM,01/03/2020,03/01/2020,7,13.5,-6.5,-0.48,AS,AS
32,AE,AM,08/03/2020,03/08/2020,6,13.5,-7.5,-0.56,AS,AS
33,AE,AM,15/03/2020,3/15/2020,6,13.5,-7.5,-0.56,AS,AS
34,AE,AM,22/03/2020,3/22/2020,3,13.5,-10.5,-0.78,AS,AS
39,AE,AM,26/04/2020,4/26/2020,1,13.5,-12.5,-0.93,AS,AS
40,AE,AM,03/05/2020,05/03/2020,1,13.5,-12.5,-0.93,AS,AS
42,AE,AM,17/05/2020,5/17/2020,1,13.5,-12.5,-0.93,AS,AS
43,AE,AM,24/05/2020,5/24/2020,1,13.5,-12.5,-0.93,AS,AS
44,AE,AM,31/05/2020,5/31/2020,2,13.5,-11.5,-0.85,AS,AS
46,AE,AM,14/06/2020,6/14/2020,1,13.5,-12.5,-0.93,AS,AS
47,AE,AR,10/05/2020,05/10/2020,1,1,0,0,AS,SA
49,AE,AT,09/02/2020,02/09/2020,16,23.5,-7.5,-0.32,AS,EU
50,AE,AT,16/02/2020,2/16/2020,18,23.5,-5.5,-0.23,AS,EU
51,AE,AT,23/02/2020,2/23/2020,20,23.5,-3.5,-0.15,AS,EU
52,AE,AT,01/03/2020,03/01/2020,19,23.5,-4.5,-0.19,AS,EU
53,AE,AT,08/03/2020,03/08/2020,19,23.5,-4.5,-0.19,AS,EU
54,AE,AT,15/03/2020,3/15/2020,20,23.5,-3.5,-0.15,AS,EU
55,AE,AT,22/03/2020,3/22/2020,17,23.5,-6.5,-0.28,AS,EU
56,AE,AT,29/03/2020,3/29/2020,2,23.5,-21.5,-0.91,AS,EU
57,AE,AT,05/04/2020,04/05/2020,3,23.5,-20.5,-0.87,AS,EU
58,AE,AT,12/04/2020,04/12/2020,3,23.5,-20.5,-0.87,AS,EU
